,100. Floral structural sex (D1),102. Ovary position (D1),201. Number of perianth parts (C1),204. Fusion of perianth (C1),207. Symmetry of perianth (D1),230. Perianth phyllotaxy (D1),231. Number of perianth whorls (C1),232. Perianth merism (C1),234. Perianth differentiation (D1),301. Number of fertile stamens (C1),305. Filament (D1),306. Fusion of filaments (C1),308. Fusion of filaments to inner perianth series (C1),311. Anther orientation (D1),312. Anther attachment (D1),313. Anther dehiscence (D1),314. Connective extension (apical) (D1),330. Androecium structural phyllotaxy (D1),331. Number of androecium structural whorls (C1),332. Androecium structural merism (C1),400. Gynoecium phyllotaxy (D1),401. Number of structural carpels (C1),403. Fusion of ovaries (C1),404. Style differentiation (D1),406. Fusion of styles (C1),411. Number of ovules per functional carpel (C1),412. Placentation (D1),5000. Number of apertures (C1),5002. Aperture shape (D1),
Dapania_racemosa,="",="(0)",="10",="10%",="(0)",="(0)",="2",="5",="(1)",="10",="(2)",="10%",="0%",="",="(0)",="(0)",="",="(0)",="2",="5",="(0)",="5",="40-100%",="(1)",="0%",="1-2",="(0)",="3",="(02)",
Dionysia_odora,="(0)",="(0)",="",="",="(0)",="",="",="5",="(1)",="5",="",="0%",="",="",="",="(0)",="",="",="1",="",="",="5",="100%",="",="100%",="",="(5)",="",="",
Dulacia_candida,="",="(0)",="12",="",="",="(0)",="2",="6",="(4)",="3",="",="0%",="",="",="(1)",="",="",="(0)",="1",="6",="",="",="",="(1)",="",="",="",="",="",
Durio_zibethinus,="(0)",="(0)",="10",="0-50%",="(0)",="(0)",="2",="5",="(1)",="60",="(2)",="0-10%",="0%",="",="",="(0)",="(0)",="(0)",="1",="5",="(0)",="5",="100%",="(1)",="100%",="5-7",="(0)",="3-4",="(1)",
Ehretia_acuminata,="(0)",="(0)",="10",="0-85%",="(0)",="(0)",="2",="5",="(4)",="5",="(2)",="0%",="",="(0)",="",="(0)",="",="(0)",="1",="5",="(0)",="2",="100%",="(1)",="95%",="2",="(0)",="3",="(2)",
Eliea_articulata,="(0)",="(0)",="",="",="(0)",="",="",="5",="",="15",="(1)",="",="",="",="",="(0)",="",="",="",="",="(0)",="6",="100%",="(1)",="",="1",="(1)",="",="",
Epacris_impressa,="(0)",="(0)",="",="",="(0)",="",="",="5",="(1)",="5",="",="0%",="",="(0)",="",="(0)",="",="",="1",="",="",="5",="100%",="",="100%",="10-30",="(0)",="",="",
Epacris_lanuginosa,="(0)",="(0)",="10",="",="(5)",="(0)",="2",="5",="(1)",="5",="(1)",="0%",="10%",="(0)",="(1)",="(0)",="(0)",="(0)",="1",="5",="(0)",="",="100%",="(1)",="100%",="",="(0)",="3",="(2)",
Epigaea_repens,="(1)",="(0)",="",="",="(0)",="",="",="5",="(1)",="10",="",="0%",="",="(0)",="",="(0)",="",="",="2",="",="",="5",="100%",="",="100%",="20",="(0)",="",="",
Erythroxylum_confusum,="",="(0)",="10",="",="(0)",="(0)",="2",="5",="(1)",="10",="(1)",="",="",="(0)",="(0)",="(0)",="",="",="",="",="(0)",="3",="100%",="(1)",="",="1",="(1)",="",="",
Fagopyrum_esculentum,="(0)",="(0)",="5",="",="(0)",="(0)",="1",="5",="(0)",="8",="(2)",="",="",="",="",="(0)",="(0)",="",="",="",="(1)",="3",="100%",="(5)",="",="1",="",="3",="(2)",
Gelsemium_sempervirens,="(0)",="(0)",="10",="50%",="(0)",="(0)",="2",="5",="(1)",="5",="(3)",="0%",="0%",="(0)",="(0)",="(0)",="",="(0)",="1",="5",="(0)",="2",="100%",="(1)",="",="4",="(0)",="3",="(2)",
Gilia_achilleifolia,="(0)",="(0)",="10",="30-60%",="(0)",="(0)",="2",="5",="(1)",="5",="",="0%",="100%",="(0)",="(3)",="(0)",="($)",="(0)",="1",="",="(0)",="3",="100%",="(1)",="100%",="5-6",="(0)",="",="",
Gilia_capitata,="(0)",="(0)",="10",="40%",="(0)",="(0)",="2",="5",="(1)",="5",="(2)",="0%",="75%",="",="(0)",="(0)",="(0)",="(0)",="1",="5",="(0)",="3",="100%",="(5)",="100%",="999",="(0)",="6-8",="(2)",
Glandora_rosmarinifolia,="",="",="",="",="(0)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",
Guettarda_uruguensis,="(0)",="(1)",="8-9",="70%",="(0)",="(0)",="2",="4-5",="(1)",="4-6",="(3)",="0%",="",="(0)",="(1)",="",="(0)",="(0)",="1",="4-5",="(0)",="2",="100%",="(1)",="",="1",="(1)",="3",="(2)",
Hottonia_inflata,="(0)",="(0)",="",="",="",="",="",="5",="(1)",="5",="",="0%",="",="",="",="(0)",="",="",="",="",="",="5",="100%",="",="100%",="",="(5)",="",="",
Hugonia_platysepala,="(0)",="(0)",="10",="",="(5)",="(0)",="2",="5",="(1)",="10",="(1)",="0-70%",="",="(0)",="(0)",="(0)",="",="(0)",="2",="5",="(0)",="5",="100%",="(1)",="0%",="2",="(1)",="3",="(2)",
Hypericum_hirsutum,="(0)",="",="",="",="(0)",="(0)",="2",="5",="(14)",="24-30",="(2)",="",="",="",="",="(0)",="",="($)",="",="",="",="",="",="",="",="",="",="",="",
Hypericum_perforatum,="(0)",="(0)",="",="",="(6)",="(0)",="2",="5",="(1)",="40-60",="(2)",="",="0%",="",="",="(0)",="",="",="",="",="(0)",="3",="100%",="(1)",="",="",="(0)",="3",="(2)",
